Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Freguesia (Jacarepaguá);1;1;0;50;1000.0;590.0;36.0
Apartamento;Leblon;1;0;1;57;3750.0;730.0;208.0
Apartamento;Copacabana;1;0;0;39;1500.0;750.0;
Apartamento;Barra da Tijuca;1;1;0;84;4000.0;;
Loft;Leblon;1;1;0;50;3900.0;2045.0;308.0
Apartamento;Flamengo;1;0;0;39;1100.0;580.0;20.0
Apartamento;Centro;1;0;0;35;950.0;340.0;24.0
Apartamento;Flamengo;1;0;0;33;1300.0;336.0;
Quitinete;Copacabana;1;0;0;38;1500.0;430.0;
Apartamento;Copacabana;1;0;0;35;4500.0;;
Apartamento;Ipanema;1;0;0;45;2700.0;650.0;50.0
Apartamento;Flamengo;1;0;0;43;2000.0;440.0;70.0
Apartamento;Copacabana;1;1;1;42;1900.0;650.0;
Apartamento;Barra da Tijuca;1;1;0;70;1500.0;1110.0;3050.0
Apartamento;Curicica;1;1;0;36;1000.0;;
Apartamento;Recreio dos Bandeirantes;1;1;1;70;2500.0;1700.0;150.0
Apartamento;Vila Isabel;1;0;0;45;1200.0;424.0;24.0
Apartamento;Leme;1;0;0;70;2500.0;526.0;
Flat;Lagoa;1;1;0;57;4500.0;1885.0;250.0
Apartamento;Botafogo;1;0;0;42;1500.0;293.0;86.0
Quitinete;Centro;1;0;0;33;800.0;570.0;
Apartamento;Gávea;1;0;0;50;30000.0;2500.0;5000.0
Apartamento;Glória;1;0;0;50;1300.0;640.0;57.0
Quitinete;Centro;1;0;0;35;700.0;312.0;28.0
Apartamento;Ipanema;1;0;0;65;4000.0;500.0;150.0
Apartamento;Tijuca;1;1;0;47;1100.0;600.0;
Apartamento;Glória;1;0;0;60;1500.0;775.0;
Apartamento;Lagoa;1;1;0;50;2300.0;1440.0;451.0
Apartamento;Humaitá;1;1;0;62;2200.0;795.0;130.0
Apartamento;Tijuca;1;0;0;80;1900.0;550.0;51.0
Apartamento;Madureira;1;0;0;55;700.0;200.0;
Quitinete;Catete;1;0;0;20;1190.0;450.0;22.0
Apartamento;Copacabana;1;0;0;35;1500.0;700.0;
Apartamento;Copacabana;1;0;0;55;1100.0;560.0;57.0
Apartamento;Laranjeiras;1;0;0;27;1100.0;680.0;29.0
Quitinete;Copacabana;1;0;0;40;1500.0;454.0;74.0
Quitinete;Botafogo;1;0;0;20;980.0;500.0;29.0
Quitinete;Centro;1;0;0;36;900.0;325.0;
Apartamento;Glória;1;0;0;50;950.0;570.0;67.0
Quitinete;Copacabana;1;0;1;32;2000.0;406.0;56.0
Apartamento;Botafogo;1;0;0;56;1900.0;680.0;
Loft;Lagoa;1;1;1;78;2500.0;1007.0;493.0
Apartamento;Centro;1;1;0;42;1500.0;490.0;22.0
Apartamento;Praça Seca;1;1;0;45;650.0;370.0;140.0
Apartamento;Barra da Tijuca;1;1;0;61;1500.0;909.0;
Apartamento;Higienópolis;1;0;1;37;900.0;308.0;
Apartamento;Centro;1;0;0;34;1000.0;450.0;21.0
Apartamento;Tijuca;1;0;0;35;800.0;420.0;
Apartamento;Barra da Tijuca;1;1;1;66;2500.0;1396.0;141.0
Flat;Copacabana;1;1;0;60;2000.0;1610.0;198.0
Apartamento;Leme;1;0;0;32;1600.0;560.0;100.0
Quitinete;Flamengo;1;0;0;35;2300.0;380.0;
Apartamento;Freguesia (Jacarepaguá);1;1;0;50;1050.0;590.0;37.0
Apartamento;Centro;1;0;0;45;1100.0;400.0;
Quitinete;Laranjeiras;1;0;0;24;1000.0;456.0;29.0
Apartamento;Botafogo;1;0;0;30;1300.0;559.0;
Casa de Vila;Jardim Botânico;1;0;0;35;2500.0;370.0;27.0
Loja/Salão;Glória;1;0;0;37;2300.0;173.0;
Quitinete;Centro;1;0;0;30;800.0;390.0;
Apartamento;Vila Isabel;1;1;0;54;1700.0;600.0;70.0
Apartamento;Flamengo;1;0;0;30;1500.0;386.0;29.0
Apartamento;Copacabana;1;0;0;38;1300.0;612.0;24.0
Apartamento;Cidade Nova;1;0;0;37;800.0;214.0;14.0
Quitinete;Estácio;1;0;0;21;550.0;200.0;
Galpão/Depósito/Armazém;Jardim América;1;0;0;2100;15000.0;;21000.0
Apartamento;Copacabana;1;0;0;40;2050.0;585.0;
Apartamento;Barra da Tijuca;1;1;0;70;3000.0;1650.0;
Apartamento;Lapa;1;0;0;32;1100.0;380.0;
Apartamento;Flamengo;1;0;0;50;1900.0;600.0;25.0
Apartamento;Copacabana;1;0;0;27;1600.0;295.0;30.0
Flat;Ipanema;1;1;0;90;7000.0;2500.0;400.0
Quitinete;Centro;1;0;0;31;1000.0;465.0;106.0
Apartamento;Leblon;1;1;1;105;5500.0;2800.0;450.0
Apartamento;Barra da Tijuca;1;1;0;70;2000.0;1130.0;
Flat;Lapa;1;1;0;29;2000.0;800.0;25.0
Apartamento;Copacabana;1;0;0;63;1800.0;757.0;88.0
Apartamento;Copacabana;1;0;0;28;1400.0;420.0;55.0
Apartamento;Barra da Tijuca;1;1;1;50;3500.0;1000.0;200.0
Apartamento;Caju;1;0;1;45;850.0;230.0;
Quitinete;Flamengo;1;0;0;51;1800.0;680.0;
Apartamento;Ipanema;1;0;0;40;2500.0;651.0;54.0
